Date,Region_Vector,Aboard,Fatalities,Survives,Time_Vector,Category_Vector,Summary_Vector
12/11/1919,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
3/10/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
3/30/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
4/10/1920,"[1, 0, 0, 0, 0, 0, 0]",2.0,1.0,1,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
4/11/1920,"[1, 0, 0, 0, 0, 0, 0]",2.0,1.0,1,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
5/12/1920,"[1, 0, 0, 0, 0, 0, 0]",2.0,1.0,1,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
6/6/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
7/20/1920,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
8/16/1920,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
8/16/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
9/1/1920,"[1, 0, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/15/1920,"[1, 0, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/27/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
10/2/1920,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
10/5/1920,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
10/15/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
11/7/1920,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
12/14/1920,"[0, 1, 0, 0, 0, 0, 0]",8.0,4.0,1,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
12/24/1920,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
2/3/1921,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
2/9/1921,"[1, 0, 0, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
2/15/1921,"[0, 0, 1, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]"
2/22/1921,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
4/6/1921,"[0, 0, 0, 0, 1, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]"
4/21/1921,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
4/29/1921,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
5/17/1921,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
8/14/1921,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
8/24/1921,"[0, 1, 0, 0, 0, 0, 0]",46.0,46.0,0,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/6/1921,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
12/5/1921,"[0, 0, 0, 0, 1, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
1/14/1922,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
2/21/1922,"[1, 0, 0, 0, 0, 0, 0]",45.0,34.0,1,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
3/22/1922,"[0, 0, 1, 0, 0, 0, 0]",6.0,5.0,1,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
4/7/1922,"[0, 1, 0, 0, 0, 0, 0]",7.0,7.0,0,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
4/8/1922,"[0, 0, 0, 0, 0, 1, 0]",17.0,17.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]"
6/3/1922,"[0, 1, 0, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
7/4/1922,"[0, 1, 0, 0, 0, 0, 0]",3.0,2.0,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
7/16/1922,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
7/26/1922,"[0, 1, 0, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/7/1922,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
10/2/1922,"[0, 1, 0, 0, 0, 0, 0]",4.0,4.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
10/25/1922,"[0, 0, 0, 0, 0, 0, 1]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
12/3/1922,"[0, 0, 0, 0, 0, 0, 1]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
1/10/1923,"[0, 1, 0, 0, 0, 0, 0]",4.0,3.0,1,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
1/17/1923,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
1/18/1923,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
2/26/1923,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
5/14/1923,"[0, 1, 0, 0, 0, 0, 0]",6.0,6.0,0,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
8/27/1923,"[0, 0, 0, 1, 0, 0, 0]",11.0,1.0,1,"[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
8/27/1923,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
9/7/1923,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
9/14/1923,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
11/18/1923,"[0, 0, 0, 0, 0, 1, 0]",5.0,3.0,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0]"
12/6/1923,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
12/23/1923,"[0, 0, 1, 0, 0, 0, 0]",52.0,52.0,0,"[0, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
12/24/1923,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
3/7/1924,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
4/24/1924,"[0, 0, 1, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
6/8/1924,"[1, 0, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
8/1/1924,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
11/6/1924,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
12/21/1924,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
12/24/1924,"[0, 1, 0, 0, 0, 0, 0]",8.0,8.0,0,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]"
3/22/1925,"[1, 0, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
4/25/1925,"[0, 1, 0, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
6/25/1925,"[0, 1, 0, 0, 0, 0, 0]",4.0,4.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
6/26/1925,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
7/20/1925,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
7/24/1925,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
9/3/1925,"[1, 0, 0, 0, 0, 0, 0]",43.0,14.0,1,"[1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
9/7/1925,"[0, 1, 0, 0, 0, 0, 0]",,,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
10/1/1925,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
11/14/1925,"[0, 0, 0, 1, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
11/14/1925,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
2/12/1926,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
3/8/1926,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
5/31/1926,"[0, 0, 1, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
7/3/1926,"[0, 1, 0, 0, 0, 0, 0]",6.0,6.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]"
7/9/1926,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
7/24/1926,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]"
8/18/1926,"[0, 1, 0, 0, 0, 0, 0]",15.0,3.0,1,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
9/26/1926,"[1, 0, 0, 0, 0, 0, 0]",5.0,2.0,1,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
10/2/1926,"[0, 0, 0, 1, 0, 0, 0]",7.0,7.0,0,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
10/8/1926,"[0, 1, 0, 0, 0, 0, 0]",4.0,4.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]"
10/21/1926,"[0, 0, 1, 0, 0, 0, 0]",12.0,0.0,1,"[0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
11/11/1926,"[0, 0, 0, 0, 0, 0, 1]",3.0,3.0,0,"[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
12/16/1926,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]"
1/12/1927,"[0, 1, 0, 0, 0, 0, 0]",0.0,0.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0]"
3/20/1927,"[0, 0, 0, 0, 0, 0, 1]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
3/24/1927,"[0, 0, 0, 0, 1, 0, 0]",3.0,3.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
4/15/1927,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
4/22/1927,"[0, 1, 0, 0, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
4/22/1927,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
5/2/1927,"[0, 0, 0, 0, 0, 0, 1]",3.0,1.0,1,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
7/27/1927,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
8/22/1927,"[0, 1, 0, 0, 0, 0, 0]",11.0,1.0,1,"[1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/3/1927,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0]"
9/17/1927,"[1, 0, 0, 0, 0, 0, 0]",12.0,7.0,1,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
9/17/1927,"[0, 0, 1, 0, 0, 0, 0]",3.0,3.0,0,"[0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
9/23/1927,"[0, 1, 0, 0, 0, 0, 0]",6.0,6.0,0,"[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
10/6/1927,"[0, 0, 0, 1, 0, 0, 0]",2.0,2.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
10/30/1927,"[1, 0, 0, 0, 0, 0, 0]",4.0,4.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]"
11/8/1927,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0]"
11/16/1927,"[0, 0, 1, 0, 0, 0, 0]",6.0,6.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0]"
11/29/1927,"[1, 0, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]"
12/28/1927,"[0, 1, 0, 0, 0, 0, 0]",1.0,1.0,0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0]"
12/31/1927,"[0, 1, 0, 0, 0, 0, 0]",5.0,5.0,0,"[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]"
